timestamp,date,volume,close,high,low,open,Ma5,Ma10
1561393800000,2019-06-25 00:30:00,5409.95977,7.2142,7.2201,7.21,7.2101,7.1956999999999995,7.19374
1561392900000,2019-06-25 00:15:00,16444.50760461,7.21,7.2301,7.2003,7.23,7.18762,7.189129999999999
1561392000000,2019-06-25 00:00:00,23906.214926045697,7.23,7.245,7.1648,7.1649,7.1851199999999995,7.184899999999999
1561391100000,2019-06-24 23:45:00,9265.17594723,7.1614,7.1714,7.15,7.159,7.179919999999998,7.176179999999998
1561390200000,2019-06-24 23:30:00,14355.898250442,7.1629,7.1785,7.15,7.1727,7.188479999999998,7.175049999999997
1561389300000,2019-06-24 23:15:00,12728.48426555,7.1738,7.1974,7.1548,7.1974,7.191779999999999,7.176759999999997
1561388400000,2019-06-24 23:00:00,35979.3937121221,7.1975,7.2128,7.1934,7.2127,7.190639999999999,7.176559999999998
1561387500000,2019-06-24 22:45:00,38080.38318772,7.204,7.2123,7.1918,7.2042,7.184679999999998,7.174089999999997
1561386600000,2019-06-24 22:30:00,48417.452077092,7.2042,7.2128,7.1752,7.1794,7.172439999999999,7.174659999999998
1561385700000,2019-06-24 22:15:00,23069.88790606,7.1794,7.1914,7.149,7.1653,7.161619999999999,7.174199999999997
1561384800000,2019-06-24 22:00:00,31765.2161147056,7.1681,7.1872,7.1428,7.1704,7.161739999999999,7.178259999999997
1561383900000,2019-06-24 21:45:00,7823.17667334,7.1677,7.1685,7.1364,7.1429,7.162479999999998,7.183099999999998
1561383000000,2019-06-24 21:30:00,56462.82119876,7.1428,7.1619,7.1155,7.1504,7.163499999999999,7.182329999999998
1561382100000,2019-06-24 21:15:00,13215.41942771,7.1501,7.1932,7.1501,7.1845,7.176879999999999,7.1820499999999985
1561381200000,2019-06-24 21:00:00,7569.66359094,7.18,7.1961,7.1643,7.1678,7.186779999999997,7.186999999999999
1561380300000,2019-06-24 20:45:00,17367.6349834766,7.1718,7.1961,7.1625,7.1714,7.194779999999997,7.194649999999998
1561379400000,2019-06-24 20:30:00,9036.9658318159,7.1728,7.2042,7.1571,7.2032,7.203719999999997,7.2043599999999985
1561378500000,2019-06-24 20:15:00,11005.08272918,7.2097,7.21,7.18,7.1927,7.201159999999997,7.210949999999999
1561377600000,2019-06-24 20:00:00,7435.288407589101,7.1996,7.2414,7.1962,7.2199,7.187219999999998,7.211649999999999
1561376700000,2019-06-24 19:45:00,11836.20608205,7.22,7.22,7.202000000000001,7.2149,7.187219999999996,7.215259999999998
1561375800000,2019-06-24 19:30:00,19551.19688917,7.2165,7.237,7.1517,7.16,7.194519999999997,7.213259999999998
1561374900000,2019-06-24 19:15:00,40265.58299297,7.16,7.1739,7.12,7.1358,7.204999999999998,7.212609999999998
1561374000000,2019-06-24 19:00:00,60604.763149414,7.14,7.2131,7.14,7.2052,7.2207399999999975,7.218709999999999
1561373100000,2019-06-24 18:45:00,21228.52231061,7.1996,7.2589,7.1986,7.2565,7.2360799999999985,7.224689999999998
